contract_id,bp_type_id,me,te,runs_per_copy,bpc_copy_count,total_bpc_runs,contract_price,price_per_run,start_location_id,contract_region_id_raw,contract_system_id_raw,date_expired,title,bpc_benchmark_type_id,bpc_benchmark_me,bpc_benchmark_te,bpc_market_sample_count,bpc_market_avg_per_run,bpc_market_median_per_run,bpc_market_p25_per_run,bpc_market_p75_per_run,bpc_market_basis,bpc_current_cost_per_run,bpc_discount_vs_avg,bpc_discount_vs_median,bpc_contract_market_value_est,bpc_intrinsic_value_surplus,station_name,system_id,system_name,region_id,security,secure_jumps_to_jita,shortest_jumps_to_jita,risk_tier,risk_rank,is_player_structure,friendly_sov,friendly_region,sov_alliance_id,friendly_alliance_id,friendly_alliance_name,friendly_alliance_ticker,bpc_value_score,blueprint_name,blueprints,v2_value_status,v2_value_score,v2_value_confidence,v2_value_dispersion_iqr,v2_contract_live,v2_value_note
235536482,848,10,20,,49,2920,40000000.0,13698.6301369863,60008494,10000043,0,2026-09-27T12:53:36Z,,848,10,20,9,127262.47987117551,150000.0,108695.65217391304,150000.0,same_type_ME10_TE20,13698.6301369863,-0.8923592393386246,-0.908675799086758,371606441.2238325,331606441.2238325,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,99.0,Tachyon Beam Laser I Blueprint,"49x Tachyon Beam Laser I Blueprint [2920 total runs, ME10/TE20]",VALUE_SIGNAL,89.0,0.8662,0.2753623188405797,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
236040074,90039,2,2,1.0,1,1,850000.0,850000.0,60011866,10000032,0,2026-10-12T12:02:19Z,,90039,2,2,32,74276909.72222222,85000000.0,9000000.0,135000000.0,same_type_ME2_TE2,850000.0,-0.9885563359706429,-0.99,74276909.72222222,73426909.72222222,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,30002659,Dodixie,10000032,0.9,15,12,A2 Jita近郊高安,1,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,84.0,Mobile Phase Anchor Blueprint,"1x Mobile Phase Anchor Blueprint [1 total runs, ME2/TE2]",VALUE_SIGNAL,77.8,0.7875,1.4823529411764707,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
236123696,90039,2,2,1.0,1,1,1500000.0,1500000.0,60011866,10000032,0,2026-10-15T03:54:35Z,,90039,2,2,32,74256597.22222222,85000000.0,9000000.0,135000000.0,same_type_ME2_TE2,1500000.0,-0.9797997746178556,-0.9823529411764704,74256597.22222222,72756597.22222222,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,30002659,Dodixie,10000032,0.9,15,12,A2 Jita近郊高安,1,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,83.9,Mobile Phase Anchor Blueprint,"1x Mobile Phase Anchor Blueprint [1 total runs, ME2/TE2]",VALUE_SIGNAL,77.7,0.7875,1.4823529411764707,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
235696083,42882,10,20,200.0,1,200,700000.0,3500.0,60011866,10000032,0,2026-10-02T05:56:25Z,,42882,10,20,10,353130.0,353550.0,7100.0,700000.0,same_type_ME10_TE20,3500.0,-0.9900886359131198,-0.9901004101258662,70626000.0,69926000.0,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,30002659,Dodixie,10000032,0.9,15,12,A2 Jita近郊高安,1,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,83.5,Mining Laser Optimization Charge Blueprint,"1x Mining Laser Optimization Charge Blueprint [200 total runs, ME10/TE20]",VALUE_SIGNAL,77.4,0.7875,1.9598359496535143,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
235407302,94073,3,2,4.0,1,4,130000000.0,32500000.0,60008494,10000043,0,2026-09-23T15:55:06Z,Simurgh Blueprint* ,94073,3,2,10,59599996.26666667,59833314.66666667,58333333.333333336,61583333.33333333,same_type_ME3_TE2,32500000.0,-0.4546979524195585,-0.4568243430761182,238399985.0666667,108399985.06666668,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,71.7,Simurgh Blueprint,"1x Simurgh Blueprint [4 total runs, ME3/TE2]",VALUE_SIGNAL,76.9,0.9864,0.054317565692388055,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
235812126,90039,2,2,1.0,1,1,10000000.0,10000000.0,60015157,10000002,0,2026-10-05T13:58:16Z,,90039,2,2,32,73990972.22222222,85000000.0,5750000.0,135000000.0,same_type_ME2_TE2,10000000.0,-0.8648483767726919,-0.8823529411764706,73990972.22222222,63990972.222222224,Kisogo VII - AIR Laboratories,30000141,Kisogo,10000002,0.9,3,3,A2 Jita近郊高安,1,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,82.6,Mobile Phase Anchor Blueprint,"1x Mobile Phase Anchor Blueprint [1 total runs, ME2/TE2]",VALUE_SIGNAL,76.8,0.7875,1.5205882352941176,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
236217190,22471,1,8,5.0,3,15,39000000.0,2600000.0,60002419,10000016,0,2026-10-17T23:36:06Z,,22471,1,8,9,4972222.222222222,5000000.0,5000000.0,5000000.0,same_type_all_ME_TE,2600000.0,-0.4770949720670391,-0.48,74583333.33333333,35583333.33333333,Sobaseki X - Moon 12 - Propel Dynamics Factory,30001363,Sobaseki,10000016,0.8,1,1,A2 Jita近郊高安,1,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,65.0,Nighthawk Blueprint,"3x Nighthawk Blueprint [15 total runs, ME1/TE8]",VALUE_SIGNAL,73.6,0.935,0.0,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
236172178,90039,2,2,1.0,1,1,200000.0,200000.0,60008494,10000043,0,2026-09-25T18:22:18Z,,90039,2,2,32,74297222.22222222,85000000.0,9000000.0,135000000.0,same_type_ME2_TE2,200000.0,-0.9973081093206716,-0.9976470588235294,74297222.22222222,74097222.22222222,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,81.1,Mobile Phase Anchor Blueprint,"1x Mobile Phase Anchor Blueprint [1 total runs, ME2/TE2]",VALUE_SIGNAL,72.8,0.7875,1.4823529411764707,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
236096636,90039,2,2,1.0,1,1,250000.0,250000.0,60008494,10000043,0,2026-10-14T06:35:41Z,,90039,2,2,32,74295659.72222222,85000000.0,9000000.0,135000000.0,same_type_ME2_TE2,250000.0,-0.9966350658849428,-0.9970588235294118,74295659.72222222,74045659.72222222,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,81.1,Mobile Phase Anchor Blueprint,"1x Mobile Phase Anchor Blueprint [1 total runs, ME2/TE2]",VALUE_SIGNAL,72.8,0.7875,1.4823529411764707,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
236148201,90039,2,2,1.0,1,1,300000.0,300000.0,60008494,10000043,0,2026-10-15T23:03:01Z,Mobile Phase Anchor Blueprint Copy 2/2,90039,2,2,32,74294097.22222222,85000000.0,9000000.0,135000000.0,same_type_ME2_TE2,300000.0,-0.9959619941392832,-0.996470588235294,74294097.22222222,73994097.22222222,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,81.1,Mobile Phase Anchor Blueprint,"1x Mobile Phase Anchor Blueprint [1 total runs, ME2/TE2]",VALUE_SIGNAL,72.8,0.7875,1.4823529411764707,True,"Comparable public contract asks are a valuation signal, not guaranteed liquidation profit."
